                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    109,                0.79012,                0.56395,                0.94989,                0.87581,                0.77716,                0.83557,                0.60645,                  0.943,                0.72874,                 1.0244,                0.00109,                0.00109,                0.00109
                    110,                0.78212,                0.55567,                0.94566,                0.87556,                0.77707,                0.83592,                0.60671,                0.94293,                0.72842,                 1.0244,              0.0010075,              0.0010075,              0.0010075
                    111,                0.78472,                0.55453,                0.94369,                0.87621,                0.77731,                0.83598,                0.60681,                0.94291,                0.72809,                 1.0244,               0.000925,               0.000925,               0.000925
                    112,                0.77772,                0.55175,                0.94243,                0.87479,                0.77867,                0.83644,                  0.607,                0.94278,                0.72801,                 1.0244,              0.0008425,              0.0008425,              0.0008425
                    113,                0.77464,                0.54972,                0.94255,                0.87056,                0.78268,                0.83601,                0.60728,                0.94279,                0.72798,                 1.0244,                0.00076,                0.00076,                0.00076
                    114,                 0.7749,                0.54639,                0.94043,                0.87111,                0.78251,                0.83633,                0.60692,                 0.9428,                0.72779,                 1.0244,              0.0006775,              0.0006775,              0.0006775
                    115,                0.77357,                0.54325,                0.94045,                0.87107,                0.78277,                0.83655,                0.60724,                0.94281,                0.72736,                 1.0244,               0.000595,               0.000595,               0.000595
                    116,                0.76712,                0.53964,                0.93613,                0.87356,                0.78213,                  0.837,                0.60723,                0.94281,                0.72695,                 1.0243,              0.0005125,              0.0005125,              0.0005125
                    117,                0.76818,                0.53958,                0.93697,                0.87451,                0.78135,                  0.837,                0.60735,                0.94278,                0.72691,                 1.0243,                0.00043,                0.00043,                0.00043
                    118,                0.76082,                0.53477,                0.93421,                0.87668,                0.78018,                0.83714,                0.60749,                0.94275,                0.72659,                 1.0243,              0.0003475,              0.0003475,              0.0003475
                    119,                0.76248,                0.53524,                0.93273,                0.87672,                0.78081,                0.83737,                 0.6078,                0.94289,                 0.7264,                 1.0244,               0.000265,               0.000265,               0.000265
                    120,                 0.7597,                0.53049,                0.93307,                0.87919,                 0.7799,                0.83804,                0.60807,                0.94291,                0.72595,                 1.0244,              0.0001825,              0.0001825,              0.0001825
